,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45000,State Senate - District 50,83.97766540671456,"<b>Bo Hatchett (I) (Rep)</b><br>82,870 votes",40,40
1,Dem,45000,State Senate - District 50,16.022334593285432,"<b>June Krise (Dem)</b><br>15,811 votes",40,40
2,Rep,45100,State Senate - District 51,100.0,"<b>Steve Gooch (I) (Rep)</b><br>105,290 votes",58,58
3,Rep,50800,State House of Representatives - District 8,84.82536928846596,"<b>Stan Gunter (I) (Rep)</b><br>33,249 votes",21,21
4,Dem,50800,State House of Representatives - District 8,15.174630711534046,"<b>Charlotte Sleczkowski (Dem)</b><br>5,948 votes",21,21
5,Rep,50900,State House of Representatives - District 9,100.0,"<b>William S. Wade (I) (Rep)</b><br>32,101 votes",7,7
6,Rep,,White County: Judge of the Probate Court,100.0,"<b>Don Ferguson (I) (Rep)</b><br>15,414 votes",10,10
7,Rep,,White County: Clerk of Superior Court,100.0,"<b>Dena M. Adams (I) (Rep)</b><br>15,497 votes",10,10
8,Rep,,White County: Sheriff,100.0,"<b>Rick Kelley (I) (Rep)</b><br>15,475 votes",10,10
9,Rep,,White County: Tax Commissioner,100.0,"<b>Cindy Cannon (I) (Rep)</b><br>15,617 votes",10,10
10,Rep,,White County: Surveyor,100.0,"<b>Eddie Hood (I) (Rep)</b><br>15,444 votes",10,10
11,Rep,,White County: Coroner,100.0,"<b>Ricky Barrett (I) (Rep)</b><br>15,592 votes",10,10
12,Rep,,White County: County Commission Chairman,100.0,"<b>Travis C. Turner (I) (Rep)</b><br>15,233 votes",10,10
13,Rep,,White County: County Commission - District 1,100.0,"<b>Roy ""Shan"" Ash, III (Rep)</b><br>3,446 votes",2,2
14,Rep,,White County: County Commission - District 4,100.0,"<b>Craig Bryant (I) (Rep)</b><br>4,210 votes",6,6
15,Rep,,White County: County BOE Chairman,100.0,"<b>Missy Jarrard (I) (Rep)</b><br>15,149 votes",10,10
16,Rep,,White County: County BOE - District 1,100.0,"<b>Jon Estes (I) (Rep)</b><br>13,690 votes",10,10
17,Rep,,White County: County BOE - District 3,100.0,"<b>Charlie Thomas (I) (Rep)</b><br>15,139 votes",10,10
18,,,White County: Continuation of White County Special Use Sales Tax (SPLOST),64.41252619898903,"<b>Yes</b><br>10,449 votes",10,10
19,,,White County: Continuation of White County Special Use Sales Tax (SPLOST),35.58747380101097,"<b>No</b><br>5,773 votes",10,10
