,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45300,State Senate - District 53,78.77292512896258,"<b>Colton Moore (I) (Rep)</b><br>70,397 votes",41,41
1,Dem,45300,State Senate - District 53,21.227074871037406,"<b>Bart Alexander Bryant (Dem)</b><br>18,970 votes",41,41
2,Rep,50100,State House of Representatives - District 1,80.338354401635,"<b>Mike Cameron (I) (Rep)</b><br>21,227 votes",16,16
3,Dem,50100,State House of Representatives - District 1,19.661645598365,"<b>John B. Zibluk (Dem)</b><br>5,195 votes",16,16
4,Rep,72100,District Attorney - Judicial Circuit Lookout Mountain,100.0,"<b>Clayton Fuller (I) (Rep)</b><br>74,668 votes",36,36
5,Rep,,Dade County: Clerk of Superior Court,100.0,"<b>Kathy D. Page (I) (Rep)</b><br>7,290 votes",7,7
6,Rep,,Dade County: Sheriff,100.0,"<b>Ray G. Cross (I) (Rep)</b><br>7,317 votes",7,7
7,Rep,,Dade County: Tax Commissioner,100.0,"<b>Angie M. Galloway (I) (Rep)</b><br>7,315 votes",7,7
8,Rep,,Dade County: Coroner,100.0,"<b>Courtney Gross (I) (Rep)</b><br>7,275 votes",7,7
9,Rep,,Dade County: County Commission Chairperson,100.0,"<b>Don Townsend (Rep)</b><br>7,136 votes",7,7
10,Rep,,Dade County: County Commissioner - District 3,100.0,"<b>Bob Woods (Rep)</b><br>7,185 votes",7,7
11,Rep,,Dade County: County Commissioner - District 4,100.0,"<b>Melissa C. Bradford (I) (Rep)</b><br>7,074 votes",7,7
12,Rep,,Dade County: County BOE - District 3,100.0,"<b>John Warren (I) (Rep)</b><br>7,028 votes",7,7
13,Rep,,Dade County: County BOE - District 4,100.0,"<b>Steve Forester (Rep)</b><br>7,164 votes",7,7
14,Rep,,Dade County: County BOE - District 5 at Large,100.0,"<b>Jayne O'Neal Griffin (I) (Rep)</b><br>7,041 votes",7,7
15,,,Dade County: Soil and Water Conservation District Supervisor,100.0,"<b>Laura Beth Cunningham</b><br>6,689 votes",7,7
