,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,42900,State Senate - District 29,65.2341763613155,"<b>Randy Robertson (I) (Rep)</b><br>62,859 votes",48,48
1,Dem,42900,State Senate - District 29,34.7658236386845,"<b>Ellen T. Wright (Dem)</b><br>33,500 votes",48,48
2,Rep,57200,State House of Representatives - District 72,75.49130897481376,"<b>David Huddleston (I) (Rep)</b><br>21,281 votes",17,17
3,Dem,57200,State House of Representatives - District 72,24.508691025186234,"<b>Rodney Ross Moore (Dem)</b><br>6,909 votes",17,17
4,Rep,63600,State House of Representatives - District 136,68.4503190519599,"<b>David Jenkins (I) (Rep)</b><br>22,527 votes",21,21
5,Dem,63600,State House of Representatives - District 136,31.54968094804011,"<b>Jeff Lowe (Dem)</b><br>10,383 votes",21,21
6,Rep,63700,State House of Representatives - District 137,40.32305868405454,"<b>Stephen Acorn (Rep)</b><br>10,884 votes",24,24
7,Dem,63700,State House of Representatives - District 137,59.67694131594546,"<b>Debbie G. Buckner (I) (Dem)</b><br>16,108 votes",24,24
8,Rep,63800,State House of Representatives - District 138,100.0,"<b>Vance C. Smith, Jr. (I) (Rep)</b><br>28,129 votes",17,17
9,Rep,71200,District Attorney - Coweta Judicial Circuit,100.0,"<b>Herb Cranford (I) (Rep)</b><br>162,345 votes",85,85
10,Rep,,Troup County: Clerk of Superior Court,100.0,"<b>Jackie Ward Taylor (I) (Rep)</b><br>25,952 votes",13,13
11,Rep,,Troup County: Sheriff,100.0,"<b>James T. Woodruff (I) (Rep)</b><br>26,012 votes",13,13
12,Rep,,Troup County: Tax Commissioner,100.0,"<b>Shane Frailey (I) (Rep)</b><br>26,152 votes",13,13
13,Rep,,Troup County: Coroner,100.0,"<b>Erin M. Hackley (I) (Rep)</b><br>25,833 votes",13,13
14,Rep,,Troup County: County Solicitor,100.0,"<b>Sandra Heath Taylor (I) (Rep)</b><br>25,671 votes",13,13
15,Rep,,Troup County: County Commission 2,75.39422161075247,"<b>James ""Jamie"" Thrailkill (Rep)</b><br>7,124 votes",6,6
16,Dem,,Troup County: County Commission 2,24.60577838924754,"<b>Andrew L. Moody, Sr. (Dem)</b><br>2,325 votes",6,6
17,Rep,,Troup County: County Commission 3,100.0,"<b>Rex Scott (Rep)</b><br>7,571 votes",7,7
18,Rep,,Troup County: County Commission 4,100.0,"<b>Morris Jones (I) (Rep)</b><br>6,075 votes",5,5
19,,,Troup County: Distilled Spirits by Drink,65.36678119891917,"<b>Yes</b><br>19,595 votes",13,13
20,,,Troup County: Distilled Spirits by Drink,34.63321880108083,"<b>No</b><br>10,382 votes",13,13
