,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,40800,State Senate - District 8,100.0,"<b>Russ Goodman (I) (Rep)</b><br>64,698 votes",48,48
1,Rep,67400,State House of Representatives - District 174,100.0,"<b>John Corbett (I) (Rep)</b><br>22,251 votes",27,27
2,Rep,67500,State House of Representatives - District 175,71.94507213627672,"<b>John LaHood (I) (Rep)</b><br>20,695 votes",18,18
3,Dem,67500,State House of Representatives - District 175,28.05492786372327,"<b>Anissa Knight Wiseman (Dem)</b><br>8,070 votes",18,18
4,Rep,67600,State House of Representatives - District 176,100.0,"<b>James D. Burchett (I) (Rep)</b><br>19,364 votes",25,25
5,Rep,67700,State House of Representatives - District 177,37.88819875776397,"<b>Clay Griner (Rep)</b><br>6,954 votes",9,9
6,Dem,67700,State House of Representatives - District 177,62.11180124223602,"<b>Dexter Sharper (I) (Dem)</b><br>11,400 votes",9,9
7,Rep,73200,District Attorney - Southern Judicial Circuit,100.0,"<b>Brad Shealy (I) (Rep)</b><br>76,850 votes",65,65
8,Rep,,Lowndes County: Solicitor General - State Court,100.0,"<b>Justin Cabral (I) (Rep)</b><br>37,772 votes",18,18
9,Rep,,Lowndes County: Clerk of Superior Court,100.0,"<b>Beth Copeland Greene (I) (Rep)</b><br>37,958 votes",18,18
10,Dem,,Lowndes County: Sheriff,100.0,"<b>Ashley Paulk (I) (Dem)</b><br>41,748 votes",18,18
11,Rep,,Lowndes County: Tax Commissioner,100.0,"<b>Clay Guess (Rep)</b><br>37,713 votes",18,18
12,Rep,,Lowndes County: Coroner,61.49969720564062,"<b>Austin Fiveash (I) (Rep)</b><br>28,435 votes",18,18
13,Dem,,Lowndes County: Coroner,38.50030279435938,"<b>Latonya S. Gordon (Dem)</b><br>17,801 votes",18,18
14,Rep,,Lowndes County: County Commission Chair,60.06417987594762,"<b>Bill Slaughter (I) (Rep)</b><br>27,889 votes",18,18
15,Dem,,Lowndes County: County Commission Chair,39.93582012405238,"<b>Kelley Saxon (Dem)</b><br>18,543 votes",18,18
16,Dem,,Lowndes County: County Commission - District 1,100.0,"<b>Joyce E. Evans (I) (Dem)</b><br>10,316 votes",8,8
17,Rep,,Lowndes County: County Commission - District 5,73.28869305762758,"<b>Michael Smith (Rep)</b><br>21,124 votes",11,11
18,Dem,,Lowndes County: County Commission - District 5,26.71130694237241,"<b>Ron J. Bythwood (Dem)</b><br>7,699 votes",11,11
