,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,41800,State Senate - District 18,100.0,"<b>John F. Kennedy (I) (Rep)</b><br>80,984 votes",48,48
1,Rep,63400,State House of Representatives - District 134,100.0,"<b>Robert L. Dickey, III (I) (Rep)</b><br>25,043 votes",16,16
2,Rep,64700,State House of Representatives - District 147,56.92404532102392,"<b>Bethany Ballard (I) (Rep)</b><br>16,278 votes",11,11
3,Dem,64700,State House of Representatives - District 147,43.07595467897608,"<b>Ariel Phillips (Dem)</b><br>12,318 votes",11,11
4,Rep,65000,State House of Representatives - District 150,46.756212222968436,"<b>Cary Moore (Rep)</b><br>10,443 votes",22,22
5,Dem,65000,State House of Representatives - District 150,53.24378777703156,"<b>Patty Marie Stinson (I) (Dem)</b><br>11,892 votes",22,22
6,Dem,72200,District Attorney - Macon Judicial Circuit,100.0,"<b>Anita Reynolds Howard (I) (Dem)</b><br>67,738 votes",43,43
7,Rep,,Peach County: Clerk of Superior Court,54.571776897287414,"<b>Sherry Ann Gonzalez (I) (Rep)</b><br>7,162 votes",7,7
8,Dem,,Peach County: Clerk of Superior Court,45.428223102712586,"<b>Katrina C. Corbin (Dem)</b><br>5,962 votes",7,7
9,Rep,,Peach County: Sheriff,40.221178609301624,"<b>Ty Ben Matthews (Rep)</b><br>5,310 votes",7,7
10,Dem,,Peach County: Sheriff,59.778821390698376,"<b>Robert ""Buck"" Shannon (Dem)</b><br>7,892 votes",7,7
11,DEM,,Peach County: Tax Commissioner (SP) (Dem),100.0,"<b>Angela J. Howard (Dem)</b><br>6,175 votes",7,7
12,Dem,,Peach County: Coroner,44.26861911509998,"<b>Shalanda P. Williams (Dem)</b><br>5,623 votes",7,7
13,Rep,,Peach County: County Board of Commissioners - Post 1,100.0,"<b>Roy Lewis (I) (Rep)</b><br>2,625 votes",3,3
14,Dem,,Peach County: County Board of Commissioners - Post 3,100.0,"<b>Betty C. Hill (I) (Dem)</b><br>2,073 votes",4,4
15,Rep,,Peach County: County Board of Commissioner - Post 5 - At Large,58.49856213107311,"<b>Wade L. Yoder (I) (Rep)</b><br>7,730 votes",7,7
16,Dem,,Peach County: County Board of Commissioner - Post 5 - At Large,41.50143786892689,"<b>Columbus H. Alderman (Dem)</b><br>5,484 votes",7,7
17,Rep,,Peach County: County Board of Education - Post 1,100.0,"<b>Albert B. ""Ben"" McDaniel (I) (Rep)</b><br>2,641 votes",3,3
18,Dem,,Peach County: County Board of Education - Post 3,100.0,"<b>Alfred ""Big Al"" Ellis (I) (Dem)</b><br>2,087 votes",4,4
19,,,Peach County: SPLOST,64.26812374942281,"<b>Yes</b><br>8,351 votes",7,7
20,,,Peach County: SPLOST,35.73187625057719,"<b>No</b><br>4,643 votes",7,7
21,Ind,,Peach County: Coroner,55.73138088490002,"<b>Kerry E. Rooks (I) (Ind)</b><br>7,079 votes",7,7
