,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,44700,State Senate - District 47,62.60958164778516,"<b>Frank Ginn (I) (Rep)</b><br>62,063 votes",41,41
1,Dem,44700,State Senate - District 47,37.39041835221484,"<b>Conolus Scott (Dem)</b><br>37,064 votes",41,41
2,Rep,45000,State Senate - District 50,83.97766540671456,"<b>Bo Hatchett (I) (Rep)</b><br>82,870 votes",40,40
3,Dem,45000,State Senate - District 50,16.022334593285432,"<b>June Krise (Dem)</b><br>15,811 votes",40,40
4,Rep,53100,State House of Representatives - District 31,100.0,"<b>Emory West Dunahoo, Jr. (I) (Rep)</b><br>30,344 votes",4,4
5,Rep,53200,State House of Representatives - District 32,100.0,"<b>Chris Erwin (I) (Rep)</b><br>27,370 votes",17,17
6,Rep,61900,State House of Representatives - District 119,100.0,"<b>Holt Persinger (I) (Rep)</b><br>26,957 votes",7,7
7,Rep,62000,State House of Representatives - District 120,61.29155521589607,"<b>Houston Gaines (I) (Rep)</b><br>19,248 votes",15,15
8,Dem,62000,State House of Representatives - District 120,38.70844478410393,"<b>Andrew Ferguson (Dem)</b><br>12,156 votes",15,15
9,Rep,72900,District Attorney - Piedmont Judicial Circuit,100.0,"<b>J. Bradley Smith (I) (Rep)</b><br>88,274 votes",25,25
10,Rep,,Jackson County: Clerk of Superior Court,100.0,"<b>Camie Wilkes Thomas (I) (Rep)</b><br>41,696 votes",4,4
11,Rep,,Jackson County: Sheriff,100.0,"<b>Kevin McCook (Rep)</b><br>41,753 votes",4,4
12,Rep,,Jackson County: Tax Commissioner,100.0,"<b>Candace Taylor Heaton (I) (Rep)</b><br>41,714 votes",4,4
13,Rep,,Jackson County: Surveyor,100.0,"<b>Warren S. Wood (I) (Rep)</b><br>41,451 votes",4,4
14,Rep,,Jackson County: Coroner,100.0,"<b>Keith Whitfield (I) (Rep)</b><br>41,616 votes",4,4
15,Rep,,Jackson County: Solicitor General,100.0,"<b>Gabe Bradford (I) (Rep)</b><br>41,391 votes",4,4
16,Rep,,Jackson County: County Commission Chairman,100.0,"<b>Marty Clark (Rep)</b><br>41,326 votes",4,4
17,Rep,,Jackson County: County Commission - District 1,100.0,"<b>Jim Hix (I) (Rep)</b><br>8,132 votes",2,2
18,Rep,,Jackson County: County Commission - District 2,100.0,"<b>Chas Hardy (I) (Rep)</b><br>6,566 votes",1,1
19,Rep,,Jackson County: Special County Commission - District 3,60.58495821727019,"<b>Ty Clack (Rep)</b><br>6,525 votes",1,1
20,Rep,,Jackson County: Special County Commission - District 3,39.4150417827298,"<b>Steve Wittry (Rep)</b><br>4,245 votes",1,1
21,Rep,,Jackson County: County BOE - District 1,100.0,"<b>Rob Johnson (I) (Rep)</b><br>7,180 votes",2,2
22,Rep,,Jackson County: County BOE - District 4,100.0,"<b>Lynne Massey Wheeler (I) (Rep)</b><br>5,625 votes",2,2
23,,,Jackson County: Arcade Fire Advisory Board Post 1,100.0,"<b>Phillip Cashwell</b><br>1,445 votes",2,2
