,politicalParty,results.ballotItems.id,contest_name,percent_of_ballot_item,label,precinctsParticipating,precinctsReporting
0,Rep,45000,State Senate - District 50,83.97766540671456,"<b>Bo Hatchett (I) (Rep)</b><br>82,870 votes",40,40
1,Dem,45000,State Senate - District 50,16.022334593285432,"<b>June Krise (Dem)</b><br>15,811 votes",40,40
2,Rep,50800,State House of Representatives - District 8,84.82536928846596,"<b>Stan Gunter (I) (Rep)</b><br>33,249 votes",21,21
3,Dem,50800,State House of Representatives - District 8,15.174630711534046,"<b>Charlotte Sleczkowski (Dem)</b><br>5,948 votes",21,21
4,Rep,,Towns County: Probate Judge/Magistrate,100.0,"<b>David Rogers (I) (Rep)</b><br>7,898 votes",2,2
5,Rep,,Towns County: Clerk of Superior Court,100.0,"<b>Eric Barrett (Rep)</b><br>7,880 votes",2,2
6,Rep,,Towns County: Sheriff,100.0,"<b>Kenneth ""Ode"" Henderson (I) (Rep)</b><br>7,497 votes",2,2
7,Rep,,Towns County: Tax Commissioner,100.0,"<b>Michael Anderson (I) (Rep)</b><br>7,899 votes",2,2
8,Rep,,Towns County: Coroner,100.0,"<b>Tamela Cooper (I) (Rep)</b><br>7,874 votes",2,2
9,Rep,,Towns County: Sole County Commissioner,100.0,"<b>Cliff Bradshaw (I) (Rep)</b><br>7,826 votes",2,2
